,number_of_triangles,primitive_type,disturbed_areas_cnt,triangle_0_x,triangle_1_x,triangle_2_x,triangle_3_x,triangle_4_x,triangle_5_x,triangle_0_y,triangle_1_y,triangle_2_y,triangle_3_y,triangle_4_y,triangle_5_y,triangle_0_width,triangle_1_width,triangle_2_width,triangle_3_width,triangle_4_width,triangle_5_width,triangle_0_height,triangle_1_height,triangle_2_height,triangle_3_height,triangle_4_height,triangle_5_height,disturbed_area_0_yAL,disturbed_area_1_yAL,disturbed_area_2_yAL,disturbed_area_3_yAL,disturbed_area_4_yAL,disturbed_area_5_yAL,disturbed_area_0_yBL,disturbed_area_1_yBL,disturbed_area_2_yBL,disturbed_area_3_yBL,disturbed_area_4_yBL,disturbed_area_5_yBL,disturbed_area_0_width,disturbed_area_1_width,disturbed_area_2_width,disturbed_area_3_width,disturbed_area_4_width,disturbed_area_5_width,disturbed_area_0_height,disturbed_area_1_height,disturbed_area_2_height,disturbed_area_3_height,disturbed_area_4_height,disturbed_area_5_height,target
0,2,TissuePrimitiveType.CIRCLE,1,167,356,,,,,,,,,,,28,27,,,,,8,20,,,,,,,,,,,310,,,,,,30,,,,,,29,,,,,,ClassB
1,5,TissuePrimitiveType.CIRCLE,5,175,259,324,340,367,,,,,,,,17,26,9,19,5,,13,36,15,33,23,,200,200,200,,,,,,,310,310,,64,63,42,47,54,,30,39,42,27,47,,ClassA
2,3,TissuePrimitiveType.CIRCLE,4,240,337,367,,,,,,,,,,22,14,7,,,,36,34,15,,,,200,200,200,,,,,,,310,,,42,50,65,30,,,48,23,26,21,,,ClassC
3,4,TissuePrimitiveType.RECTANGLE,4,160,194,295,328,,,,,,,,,18,20,6,23,,,26,13,36,21,,,200,,,,,,,310,310,310,,,32,67,31,61,,,23,34,28,23,,,ClassA
4,6,TissuePrimitiveType.CIRCLE,1,102,260,294,329,346,355,,,,,,,15,9,19,5,4,28,11,21,15,31,28,12,,,,,,,310,,,,,,46,,,,,,30,,,,,,ClassB
5,2,TissuePrimitiveType.CIRCLE,2,182,339,,,,,,,,,,,28,21,,,,,25,27,,,,,,,,,,,310,310,,,,,43,57,,,,,24,24,,,,,ClassB
6,4,TissuePrimitiveType.CIRCLE,3,209,322,346,377,,,,,,,,,13,19,26,7,,,25,14,14,23,,,200,,,,,,,310,310,,,,35,56,59,,,,21,29,33,,,,ClassB
7,6,TissuePrimitiveType.RECTANGLE,1,181,268,288,310,334,369,,,,,,,9,14,17,14,30,15,33,29,18,8,17,18,,,,,,,310,,,,,,37,,,,,,38,,,,,,ClassA
8,0,TissuePrimitiveType.RECTANGLE,3,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,310,,,,42,68,65,,,,41,50,27,,,,ClassC
9,4,TissuePrimitiveType.CIRCLE,2,15,333,352,374,,,,,,,,,11,12,16,7,,,24,33,28,32,,,,,,,,,310,310,,,,,34,33,,,,,38,42,,,,,ClassB
